Category: All categories,,,,,
,,,,,
Week,CaixaBank: (Spain),EVO Banco: (Spain),Cam MyInvestor: (Spain),N26: (Spain),Openbank: (Spain)
5/12/2019,16,4,0,1,4
5/19/2019,10,4,0,1,4
5/26/2019,11,5,0,1,4
6/2/2019,12,5,0,1,5
6/9/2019,11,4,0,1,4
6/16/2019,12,4,0,1,4
6/23/2019,12,5,0,1,5
6/30/2019,12,5,0,1,5
7/7/2019,12,4,0,1,4
7/14/2019,12,4,0,1,4
7/21/2019,12,4,0,1,4
7/28/2019,14,5,0,1,5
8/4/2019,14,5,0,1,4
8/11/2019,15,3,0,1,3
8/18/2019,14,3,0,1,4
8/25/2019,15,4,0,1,5
9/1/2019,14,4,0,1,5
9/8/2019,14,4,0,1,4
9/15/2019,13,4,0,1,4
9/22/2019,12,4,0,1,4
9/29/2019,15,5,0,1,5
10/6/2019,13,5,0,1,4
10/13/2019,12,5,0,1,4
10/20/2019,11,5,0,1,4
10/27/2019,13,6,0,1,5
11/3/2019,15,6,0,1,5
11/10/2019,14,5,0,1,4
11/17/2019,20,5,0,1,4
11/24/2019,37,5,0,1,5
12/1/2019,38,4,0,1,5
12/8/2019,57,4,0,1,5
12/15/2019,65,4,0,1,5
12/22/2019,53,4,0,1,4
12/29/2019,44,5,0,1,5
1/5/2020,44,4,0,1,5
1/12/2020,76,4,0,1,5
1/19/2020,78,4,0,1,4
1/26/2020,85,4,0,1,5
2/2/2020,71,5,0,1,5
2/9/2020,27,4,0,1,5
2/16/2020,34,4,0,1,4
2/23/2020,40,4,0,1,5
3/1/2020,72,4,0,1,5
3/8/2020,82,3,0,1,4
3/15/2020,71,2,0,1,3
3/22/2020,74,2,0,1,4
3/29/2020,100,3,0,1,5
4/5/2020,61,3,0,1,4
4/12/2020,38,3,0,1,4
4/19/2020,37,3,0,1,4
4/26/2020,40,3,0,1,5
5/3/2020,44,3,0,1,5
5/10/2020,42,3,0,1,4
5/17/2020,15,3,0,1,4
5/24/2020,11,3,0,1,5
5/31/2020,6,4,0,1,5
6/7/2020,6,3,0,1,4
6/14/2020,6,4,0,1,4
6/21/2020,6,3,0,1,5
6/28/2020,8,4,0,1,6
7/5/2020,8,4,0,1,5
7/12/2020,9,3,0,1,5
7/19/2020,8,3,0,1,5
7/26/2020,11,4,0,1,5
8/2/2020,12,4,0,1,5
8/9/2020,9,3,0,1,4
8/16/2020,5,3,0,1,4
8/23/2020,3,3,0,1,5
8/30/2020,10,4,0,1,5
9/6/2020,8,3,0,1,5
9/13/2020,10,3,0,1,5
9/20/2020,8,4,0,1,4
9/27/2020,8,4,0,1,5
10/4/2020,10,3,0,1,5
10/11/2020,10,3,0,1,4
10/18/2020,11,4,0,1,4
10/25/2020,12,4,0,1,4
11/1/2020,12,4,0,1,5
11/8/2020,12,5,0,1,5
11/15/2020,12,5,0,1,5
11/22/2020,11,4,0,1,5
11/29/2020,12,4,0,1,5
12/6/2020,10,4,0,1,4
12/13/2020,9,4,0,1,5
12/20/2020,7,3,0,1,4
12/27/2020,10,3,0,1,5
1/3/2021,11,4,0,1,5
1/10/2021,11,3,0,1,4
1/17/2021,11,3,0,1,5
1/24/2021,12,3,0,1,5
1/31/2021,12,4,0,1,6
2/7/2021,7,3,0,1,5
2/14/2021,6,3,0,1,4
2/21/2021,5,3,0,1,5
2/28/2021,5,3,<1,1,5
3/7/2021,5,3,0,1,4
3/14/2021,5,3,0,1,4
3/21/2021,7,3,0,1,4
3/28/2021,8,3,0,1,4
4/4/2021,7,3,0,1,5
4/11/2021,8,3,0,1,5
4/18/2021,13,3,0,1,4
4/25/2021,11,3,0,1,5
5/2/2021,11,3,0,1,5
5/9/2021,10,3,0,1,4
5/16/2021,11,2,0,1,4
5/23/2021,11,3,0,1,4
5/30/2021,13,3,0,1,5
6/6/2021,11,3,0,1,4
6/13/2021,10,2,0,1,4
6/20/2021,12,3,0,2,4
6/27/2021,13,3,0,1,5
7/4/2021,9,3,0,1,4
7/11/2021,10,3,0,1,4
7/18/2021,9,3,0,1,4
7/25/2021,11,3,0,1,4
8/1/2021,10,3,0,1,4
8/8/2021,9,2,0,1,3
8/15/2021,8,2,0,1,3
8/22/2021,7,3,0,2,3
8/29/2021,10,3,0,2,4
9/5/2021,10,3,0,1,4
9/12/2021,9,3,0,2,4
9/19/2021,7,2,0,1,4
9/26/2021,6,3,0,1,5
10/3/2021,7,3,0,1,4
10/10/2021,7,2,0,1,4
10/17/2021,6,3,0,1,4
10/24/2021,6,3,0,1,4
10/31/2021,6,3,0,1,4
11/7/2021,7,3,0,1,4
11/14/2021,9,3,0,1,4
11/21/2021,7,2,0,1,4
11/28/2021,8,3,0,1,5
12/5/2021,7,2,0,1,4
12/12/2021,7,3,0,1,4
12/19/2021,6,3,0,1,4
12/26/2021,6,3,0,1,5
1/2/2022,6,3,0,1,5
1/9/2022,8,3,0,1,5
1/16/2022,9,3,0,1,5
1/23/2022,41,2,0,1,5
1/30/2022,33,3,0,1,6
2/6/2022,9,3,0,1,5
2/13/2022,8,3,0,1,4
2/20/2022,11,3,0,1,4
2/27/2022,14,3,0,1,5
3/6/2022,12,3,0,1,4
3/13/2022,10,3,0,1,5
3/20/2022,10,3,0,1,4
3/27/2022,11,3,0,1,5
4/3/2022,11,3,0,1,5
4/10/2022,9,2,0,1,3
4/17/2022,10,3,0,1,5
4/24/2022,10,3,0,1,5
5/1/2022,10,4,0,1,5
5/8/2022,11,4,0,1,4
5/15/2022,10,3,0,1,4
5/22/2022,11,3,0,1,5
5/29/2022,12,4,0,1,5
6/5/2022,11,4,<1,1,4
6/12/2022,11,3,0,1,4
6/19/2022,12,3,0,1,4
6/26/2022,11,4,0,1,6
7/3/2022,12,4,0,1,5
7/10/2022,12,3,0,1,5
7/17/2022,12,3,0,1,4
7/24/2022,11,3,0,1,5
7/31/2022,11,3,0,1,5
8/7/2022,9,3,0,1,4
8/14/2022,8,3,0,1,3
8/21/2022,8,3,0,1,4
8/28/2022,9,4,0,1,5
9/4/2022,10,3,0,1,5
9/11/2022,26,3,0,1,4
9/18/2022,39,3,0,1,4
9/25/2022,48,3,0,1,5
10/2/2022,51,4,0,1,5
10/9/2022,42,4,0,1,4
10/16/2022,45,4,0,1,4
10/23/2022,48,3,0,1,5
10/30/2022,52,3,0,1,5
11/6/2022,48,3,0,1,4
11/13/2022,42,3,0,1,4
11/20/2022,39,3,0,1,4
11/27/2022,45,3,0,1,5
12/4/2022,33,2,0,1,4
12/11/2022,42,3,0,1,4
12/18/2022,41,3,0,1,4
12/25/2022,40,3,0,1,5
1/1/2023,39,3,0,1,5
1/8/2023,45,3,0,1,5
1/15/2023,39,3,0,1,4
1/22/2023,47,3,0,1,5
1/29/2023,49,4,0,1,6
2/5/2023,40,3,0,1,5
2/12/2023,39,3,0,1,5
2/19/2023,37,3,0,1,5
2/26/2023,45,3,0,1,6
3/5/2023,42,3,0,1,4
3/12/2023,38,2,0,1,5
3/19/2023,37,2,0,1,4
3/26/2023,43,3,0,1,6
4/2/2023,38,3,0,1,5
4/9/2023,40,3,0,1,5
4/16/2023,38,3,0,1,5
4/23/2023,38,3,0,1,5
4/30/2023,39,3,0,1,5
5/7/2023,37,3,0,1,5
5/14/2023,36,2,0,2,4
5/21/2023,34,2,0,1,4
5/28/2023,39,3,0,1,5
6/4/2023,35,3,0,1,5
6/11/2023,36,2,0,1,5
6/18/2023,38,3,0,1,5
6/25/2023,42,3,0,2,5
7/2/2023,41,3,0,2,6
7/9/2023,35,3,0,1,4
7/16/2023,39,3,0,2,4
7/23/2023,36,3,0,2,5
7/30/2023,43,3,0,2,5
8/6/2023,32,2,0,2,4
8/13/2023,27,2,0,2,3
8/20/2023,29,2,0,1,4
8/27/2023,36,3,0,2,5
9/3/2023,36,3,0,2,5
9/10/2023,33,2,0,1,4
9/17/2023,35,3,0,2,4
9/24/2023,38,3,0,2,5
10/1/2023,41,4,0,2,5
10/8/2023,30,3,0,2,4
10/15/2023,34,2,0,1,4
10/22/2023,35,3,0,1,4
10/29/2023,38,3,0,1,5
11/5/2023,37,3,0,1,4
11/12/2023,35,3,0,1,3
11/19/2023,38,3,0,1,4
11/26/2023,45,3,0,2,3
12/3/2023,35,2,0,2,2
12/10/2023,39,3,0,1,4
12/17/2023,44,3,0,1,5
12/24/2023,41,3,0,1,5
12/31/2023,39,3,0,2,5
1/7/2024,42,3,0,2,5
1/14/2024,40,3,<1,2,4
1/21/2024,43,3,0,2,5
1/28/2024,50,4,0,2,6
2/4/2024,45,3,0,2,5
2/11/2024,40,3,0,2,5
2/18/2024,43,3,1,2,5
2/25/2024,46,3,2,2,5
3/3/2024,47,3,2,2,5
3/10/2024,43,3,2,2,5
3/17/2024,44,3,2,2,5
3/24/2024,40,3,2,2,5
3/31/2024,54,3,3,2,6
4/7/2024,47,3,2,2,5
4/14/2024,42,3,2,1,6
4/21/2024,45,3,2,2,6
4/28/2024,46,3,2,2,6
5/5/2024,47,3,2,1,6
5/12/2024,19,1,2,1,3
